text,ad
"Women make up seventy percent of the labor force in Uganda, yet rarely get the chance to bring their own products to market. 23 Women is a real story of real women who saw the need to join together, work hard, and deliver the best coffee their country could offer.Rated the number one coffee in Uganda at the AFCA Taste of Harvest Competition, these women produce some of the best coffee in the world.",1
"It's right in your own backyard.While it may be hard to believe, roughly five million Americans don't even know where their next meal will come from.In communities just like yours, there are many who need help.Join people across the country who are coming together with AARP Create the Good, to end hunger.Start today. It can be as easy as giving food or money to your local area food bank, or getting tips to start your own food drive.Whatever level of involvement is right for you, we've made it simple to find and help people in your area.So get involved. Go to www.createthegood.org/hunger.",1
"I thought I respected myself. That is, until I saw myself get high. It's just an ugly side of myself that I didn't recognize. Saying and doing things that just weren't me. I do respect myself, that's why I don't do drugs.",1
"If there's a place in your heart for a wild mustang or burro...and you're ready to adopt... come to Ingalls Park in Norco this Saturday and Sunday.The Bureau of Land Management will offer 80 wild horses and 20 wild burros to qualified adopters through its Adopt-A-Horse or Burro Program.These beautiful mustangs and burros were gathered from public lands in California, and they're in excellent health. They arrive at the park around noon on Friday and will be available for public viewing.Mustangs are renowned for their strength, speed and endurance. Burros make excellent pets, companion animals and guard animals.The minimum bid is only $125 dollars per animal. Fees may be paid by cash, check, or credit card.Don't miss this opportunity to adopt a wild mustang or burro this weekend at Ingalls Park in Norco.For more information call eight hundred, nine five one, eight seven two zero. That's eight hundred, nine five one, eight seven two zero.",1
"When someone abducts a child, they're not about to advertise it. But we will. Sign up at wireless Amber alert.org to get free Amber Alert text messages on your cell phone. Wireless amber alerts. A child is calling for help.",1
"The American Academy of Neurology has issued a new guideline to help determine when people with Alzheimer's disease or dementia should stop driving. The guideline advises caregivers to watch for warning signs including: crashes, traffic tickets, avoiding driving at night or in rain and an impulsive personality. To learn more or to find a neurologist near you, visit the American Academy of Neurology's website for patients and caregivers at AAN.com. (pronounce the letters separately.) That's AAN.com.Direction note: 30s PSA. Pronounce the letters of the website (A.A.N.) separately.U/L by TxTom",1
"Join the American Bar Association to stay current on legal developments, earn CLE credit, and enjoy exclusive savings. The ABA offers expertise on a national scope, career and practice advice, networking opportunities with legal professionals from across the U.S., and much more. As a lawyer licensed to practice in the one of the states, territories, or possessions of the United States, you will soon find the ABA has become an essential component of your professional life.",1
"American Cancer SocietyAmerican Cancer SocietyIt's tough to quit smoking. Just ask any of the 50 million Americans who continue to puff away, even though they know the toll it takes on health and longevity. When it comes to breaking this lethal habit, the most effective tool is willpower. The American Cancer Society now offers a free video for those smokers who feel they can't quit alone. Call the AMERICAN CANCER SOCIETY today, at 1-800-575-2424.",1
"Ask one of the 3 million Americans who've survived cancer, if the money spent on research is worth it. Please help.",1
"Do you know what these items have in common? They can kill people who are severly allergic to them. Things as simple as peanuts, milk, eggs and shellfish can cause a severe allergic reaction called anaphylaxis. As many as 1 out of 7 people may at risk for anaphylaxis. Other causes include insect stings, antibiotics, and latex. Are you, or someone you love at risk? Be prepared. Completely avoiding an allergen is impossible. There are treatments that reverse the symptoms of a severe allergic reaction. If you or someone in your family has had any of these symptoms after contact with items like these, talk to your doctor.",1
"For a kid with asthma, the joys of childhood quickly become living nightmares. A playful kitten, a cuddly puppy, a bouquet of flowers, all are potential triggers for terrifying attacks. Don't let Asthma rob another childhood. Call 1800 Lung, USA. The American Lung Association.",1
"Every 67 minutes someone dies from melanoma. With early detection, most of these deaths can be prevented. This May, through the power of friendship, Olay and the American Society for Dermatologic Surgery invite you to save some lives. Ask your best girlfriend to join you for a free skin cancer screening, and encourage her to always wear an SPF. For more information go to skincancertakesfriends.org. Don't let beauty become a beast. Protect, detect, and love the skin you're in.",1
"There's just not enough Art in our Schools. No wonder people think Louis Armstrong was the first man to walk on the moon. It's a long way from the Apollo Theatre to the Apollo program, but for Louis Armstrong giant leaps for mankind were simply a matter of course. For more information about the benefits of arts education, please visit us on the AmericansForTheArts.org. Just like great Louis Armstrong, all you need is a little brass. Art. Ask For More.",1
"At 4:00 my kid will be at (leave a beat of silence here). If you can't fill in the blank, you need to start asking your kid questions. It's a proven way to steer kids clear of drugs. It's not pestering. It's parenting. This message sponsored by the Anti-Drug Campaign",1
"It's not half as uncomfortable as talking to your kids about sex. But just as important. Talking to your kids about marijuana can clear up a lot of the questions they might have. And the ones you might have, too. Talking about marijuana can also make your kids feel more at ease in dealing with it when they have to, which is probably more often than you think. Besides, after everything else you've talked to them about, it's not as uncomfortable as you might expect. For more information and a fact-filled booklet, call 1-800-788-2800.",1
"At 4:00 my kid will be at _________________________. If you can't fill in the blank, you need to start asking. It's a proven way to steer kids clear of drugs. It's not pestering. It's parenting. ASK: WHO? WHAT? WHEN? WHERE? QUESTIONS. THE ANTI-DRUG.",1
Talking to your friends about their problems with drugs and alcohol might not be easy. But it can make all the difference. Courage. The anti-drug.,1
"Kids need to talk about not smoking with someone they can trust. YOU. The ""Take 10"" challenge invites you to take a written pledge to discuss with your children why they shouldn't smoke. Once you sign, we'll also send you the tools you'll need to get your conversation started.",1
"Passing gas around infants. Can be deadly. Passing gas releases a toxic fog of ammonia and hydrogen cyanide, which can be especially harmful on an infant's developing lungs. Passing gas can even contribute to sudden infant death syndrome. Kids shouldn't be exposed to second hand smoke. Don't pass gas - take it outside.",1
"In Appalachia, there are still little children like Amy who go to bed hungry at night - little children who are deprived of the basic necessities, right here in America. For just $24 a month, you can sponsor a child in desperate need. You can provide food, warm clothes, health and school needs - and maybe even a toy or two.",1
"The Armed Forces of the United States are not separate and independent parts of the government; rather, they compose one of the instruments of national policy. Since the birth of the Nation, policies and directives have been made by civilians assigned to the military and to the executive and legislative branches of the government.",1
"There's something you can do -- right now -- that will ease the pain of arthritis in years to come. By remembering The Arthritis Foundation in your will, you can help us find ways to stop this serious, often crippling disease. A disease that affects one in every seven Americans. Call THE ARTHRITIS FOUNDATION, at 1-800-552-HAND. It's time we took arthritis seriously.",1
"Asian Affair Holidays are designed for the independent traveler, for those who desire more than the ordinary vacation. So treat yourself to one of our flexible travel values, such as Hong Kong for 5 nights from $1088, and Singapore, Bali, and Bangkok -- 9 nights from $1929. We have included round-trip airfare, choice of hotels, sightseeing and private car transfers to and from airports. Let the enchantment be your reality. Call your travel agent for details, or order our beautiful video for just $12.95. Call 800-997-8886.",1
"For a kid with asthma, the joys of childhood quickly become living nightmares. A playful kitten, a cuddly puppy, a bouquet of flowers, all are potential triggers for terrifying attacks. Don't let Asthma rob another childhood. Call 1800 Lung, USA. The American Lung Association.",1
"In five minutes or less. To help Zimbabwe's teens resist the lure of so-called sugar daddies-men who buy clothes for the girls and pay their school fees in exchange for sex-an American named Nancy Padian started SHAZ(Shaping the Health of Adolescents in Zimbabwe). Your $10 gift, made through Women's Global Health Imperative (wghi.org) provides job training for girls; $25 covers a semester's school fees.",1
"If you're in two minds, leave early.The best way to prepare for this fire season, is to stay informed and plan to leave early before you see smoke or fire.Talk to everyone you live with, so you all know when you're going to leave and when you're going to go, if a fire starts.Pack a relocation kit with important documents and essential items.On high risk days, check fire danger ratings, and fire warnings on the CFA website and listen to local radio.Don't wait and hope for the best. Visit the CFA website to find out how you can be Fire Ready.Visit CFA.vic.gov.au or call 1-800-250-6675. Prepare, Act, Survive.",1
"All of a sudden, a $2,000 grill seems perfectly reasonable. Beef, its what's for dinner.",1
"What's more romantic than cuddling old dogs, cooing over kittens, walking potbellied pigs, cleaning bunny pens and shoveling horse manure? Just ask Takiko May and John Ewing. Instead of sipping mai-tais in Maui, they spent their honeymoon as volunteers doing just that at Best Friends Animal Sanctuary in Kanab, Utah.______________________script by jamesromick",1
"When experiencing depression, I couldn't get out of bed or focus. My goals anddreams drifted away. I got my life back through the help of a support group ofpeople who had been where I was. They helped me see that my life wasn't limited- that I could still achieve my dreams.Fifty thousand people find compassion and encouragement at their localDepression and Bipolar Support Alliance support group. Visit support helps dotorg, or call 800-826-3632 to learn more. We've been there. We can help.",1
"One of the most important activities to share with your baby is reading. That's why The Brown County Public Library is offering the ""Born To Read"" program for teen parents. Tutors provide coaching, a video offers tips, and librarians distribute books and other materials. The program is made possible through a grant from The Federal Institute of Museum and Library Services. For more information or to be a volunteer call, 505-555-1234.",1
"Put this card in the hands of a child and there'll be no room for a gun. A needle. Or a knife. It's only a piece of paper, but that little membership card has helped keep millions of kids off drugs, out of gangs and in school. To learn how you can help the Boys & Girls Clubs, call 1-800-854-Club. Boys & Girls Clubs of America. The POSITIVE Place For Kids.",1
"Remember your best friend from childhood? Remember swearing you'd be best friends forever. Well she just found a lump in her breast. One out of every eight women will develop breast cancer in her lifetime. With your help, we will change that statistic. So join the fight. If not for yourself, for someone you love.",1
"In the U.S. alone, over 200,000 women and 1,300 men will be diagnosed with breast cancer this year - 40,000 will die. Let's not rest until we win the battle against breast cancer. With your help, we can erase this disease - for good. The Breast Cancer Research Foundation.",1
"Breast Cancer doesn't just affect women. Consider the families and friends whose lives are also changed. In the U.S. alone 215,990 women and 1,450 men will be diagnosed with breast cancer this year and over 40,000 will die. We cannot rest until we win the battle against breast cancer. At the Breast Cancer Research Foundation a minimum of 85 cents of every dollar donated goes directly to cancer research and awareness programs. The Foundation has a 4 star rating, the highest possible, from Charity Navigator, and an ""A"" from the American Institute of Philanthropy. For more information, go to our website at www.bcrfcure.org or call toll free 866 Find-A-Cure. With your help we can erase this disease for good. The Breast Cancer Research Foundation. Prevention and a Cure in our lifetime.",1
"Imagine your body being buried while you're still in it. Imagine the horror.You'd struggle. But struggling only makes it worse.Imagine your whole life reduced to thinking about your next breath.Eventually, you'd welcome death... but an emphysema sufferer can go on living like this for years.If you smoke, death could be the least of your worries. Stop, before the suffering starts.",1
(Sound of motor revving up)If you hear this sound (seat belt warning ping) it means you forgot to fasten your seatbelt.(Horns honking and screeching tires)This sound means it's too late.Give safety a hand. Everyone buckle up.(Total 15 second PSA)Contributed by TxTom,1
"You have the power to do something right now that could drastically affect the rest of your life. It doesn't involve decisions about college, or work, or joinng the military or anything like that. It simply involves using a condom if you're having sex. See, the risk of getting HIV and AIDS is still out there and these days, half the people who get HIV are 24 years old or younger. You can trust the person you're with, you can love the person you're with, but trust and love can't stop HIV - condoms can. The person you're with may look fine, but they could be infected. And having unprotected sex just once can turn your whole life upside down. Every 15 minutes of every day another person 24 or younger gets infected with HIV. Make sure you're not one of them. Respect yourself, protect yourself. Have questions, call 1.800.922.AIDS. Brought to you by the California AIDS Prevention Campaign.",1
"A life time of smoking was odds that she just couldn't beat.Doctors said she could maybe live 9 months with Chemo...6 months without.She chose the latter. She was 58 and I miss her a lot.I do not know if Cancer can be beat but I do know that smoking can.So...if not for yourself, then do it for someone else...do it for my friend Jackie!",1
"A cancer diagnosis changes everything. It turns someone¹s world upside down- emotionally, physically, and even financially. Cancer Care can help. Please call us at 1-800-813-HOPE. When someone understands, it makes all the difference in your world.",1
